"","Station ID","Station Type","Station Location","Latitude","Longitude"
"1",2,"Ambient","BansomdejchaoprayaRajabhatUniversity",13.733,100.4882
"2",3,"Ambient","KanchanaphisekRoad",13.6144,100.4059
"3",5,"Ambient","MeteorologicalDepartment",13.6661,100.6057
"4",8,"Suburb","RehabilitationCenter",13.664,100.5434
"5",10,"Ambient","KhlongChan",13.7795,100.6457
"6",11,"Ambient","HuaiKhwangNationalHousingStadium",13.7755,100.5692
"7",12,"Ambient","NonsiWittayaSchool",13.708,100.5473
"8",13,"Suburb","EGAT",13.8072,100.5063
"9",14,"Suburb","HighwayDistrict",13.7055,100.3157
"10",16,"Suburb","PhraNakornTaiPowerStation",13.618,100.5562
"11",17,"Suburb","DPIMOfficialResidence",13.6522,100.5318
"12",18,"Suburb","CityHall",13.5992,100.5973
"13",19,"Suburb","BangPhliNationalHousing",13.5703,100.7859
"14",20,"Suburb","BangkokUniversityRangsitCampus",14.0375,100.6051
"15",22,"Suburb","STOU",13.9079,100.5356
"16",27,"Suburb","SamutsakhonwittayalaiSchool",13.5505,100.2643
"17",50,"Roadside","ChulalongkornHospital",13.73,100.5364
"18",52,"Roadside","EGATThonburi",13.7276,100.4866
"19",53,"Roadside","ChokChaiPoliceStation",13.7954,100.5929
"20",54,"Roadside","DinDaeng",13.7626,100.5504
"21",59,"Ambient","PublicRelationDepartment",13.7831,100.5405
"22",61,"Ambient","Bodindecha",13.7698,100.6146
